,fid,max0,max1,max2,mean0,mean1,mean2,min0,min1,min2,std0,std1,std2
0,t274,249,255,255,22.235092163085938,25.394134521484375,91.24003601074219,0,1,60,30.83775868086128,34.27146283803848,18.9176041712927
0,t275,250,255,255,28.208465576171875,32.02685546875,95.96546936035156,0,0,50,40.55787986332432,45.22594857799991,26.24795985176834
0,t276,248,254,255,22.572525024414062,24.126846313476562,85.63105773925781,0,0,58,35.17297373247373,39.64298540996762,22.447166411903044
0,t277,249,255,254,22.077056884765625,24.767791748046875,89.35324096679688,0,0,39,31.451263718372335,34.95968054977302,20.321448025967804
0,t278,247,253,254,18.987884521484375,22.105300903320312,73.4666748046875,0,0,41,31.143487029674827,34.127863014143486,21.96850523907282
0,t279,243,250,254,22.7403564453125,25.157638549804688,84.42378234863281,0,0,57,32.61715426300548,36.969067079350246,21.56744073151728
0,t28,236,234,249,42.13157653808594,54.160308837890625,134.83970642089844,0,0,60,66.14548276619813,66.36083784959267,41.00477853532676
0,t280,251,253,255,24.808609008789062,28.6260986328125,86.05108642578125,0,0,53,37.87234263807442,42.24935604185239,26.094432111993036
0,t281,251,254,254,24.9510498046875,28.04278564453125,81.47952270507812,0,0,50,39.38746527479155,41.18241719519403,26.699872980128614
0,t282,247,253,254,21.29229736328125,24.720245361328125,75.2784423828125,0,0,48,30.810694086838534,34.695146032847,20.88425007013174
0,t283,251,254,255,21.859420776367188,24.493804931640625,75.77577209472656,0,0,48,33.921752613155085,37.844197451035015,23.324274674836918
0,t284,243,254,255,24.56378173828125,26.93609619140625,79.1060791015625,0,0,42,35.31355765154514,39.497443465706546,24.198623989514992
0,t285,254,254,255,18.83746337890625,22.29425048828125,69.49153137207031,0,0,44,31.510593790910825,33.50638113563439,22.663846147086893
0,t286,216,233,236,15.512130737304688,18.6475830078125,70.59576416015625,0,0,47,20.989463108556322,23.68566294034798,13.751155726537073
0,t287,249,253,255,20.053466796875,22.98406982421875,73.67941284179688,0,0,45,33.404312497790905,36.52354348432494,22.704284500177735
0,t289,249,254,254,23.537216186523438,27.46575927734375,73.26275634765625,0,0,43,33.834689936946205,36.96286150383148,23.595466791227228
0,t29,224,233,242,39.812042236328125,51.25323486328125,125.86640930175781,0,1,59,62.20661127903112,64.10354574388225,37.00875243997071
0,t290,239,252,254,16.427078247070312,18.91058349609375,72.22734069824219,0,1,50,26.180376856896494,28.840741866456543,18.006004116652726
0,t291,243,253,254,19.320159912109375,21.836196899414062,75.51383972167969,1,1,29,28.298487928110166,32.30539613739543,19.264584036789927
0,t292,237,249,252,19.134567260742188,21.243377685546875,73.29615783691406,0,0,36,29.94207620421366,32.59626764706314,22.16779318231114
0,t293,235,247,249,19.68341064453125,21.614517211914062,70.77072143554688,0,0,35,32.996309803266314,33.859652723935596,23.726180123113235
0,t294,246,255,255,16.632522583007812,19.008056640625,70.77011108398438,0,0,44,21.937515664420886,24.43957721316226,15.62284872572849
0,t295,255,255,255,31.724533081054688,36.61529541015625,78.15155029296875,0,0,10,45.676722474459496,49.51919165558242,34.07375969703833
0,t296,250,254,255,18.420486450195312,20.571914672851562,75.482666015625,0,0,34,26.077463121799923,28.238628716107247,18.812240571866152
0,t297,235,246,247,18.709503173828125,21.166900634765625,70.31890869140625,0,0,37,23.13793040148375,25.931865457988938,17.173385010396046
0,t298,250,254,255,17.215988159179688,20.446090698242188,62.30210876464844,0,0,37,28.272987853374932,30.06329320253713,21.04413636823218
0,t299,236,247,251,14.914199829101562,16.926101684570312,69.48179626464844,0,0,39,15.930818981873244,18.678954394096852,11.645316983134943
0,t3,255,253,255,61.05937194824219,58.022705078125,150.5648651123047,8,5,5,47.8035952159704,40.14948801112661,39.75382358388549
0,t30,230,232,239,44.128021240234375,54.73931884765625,138.02719116210938,0,1,58,62.811171411753946,65.85461255337825,37.453769424943026
0,t300,249,255,255,19.091705322265625,22.25146484375,67.80427551269531,0,0,40,31.80914153436712,34.743245487217976,23.586953970649663
0,t301,230,243,245,15.277435302734375,18.279327392578125,62.0745849609375,0,0,39,24.581168629379682,27.30239971436272,18.349006974674374
0,t302,253,253,254,19.514114379882812,24.49810791015625,59.64619445800781,0,0,20,30.491926517796518,32.449138519508914,22.30786197818764
0,t303,250,252,254,19.41204833984375,21.567413330078125,68.77073669433594,1,0,33,28.287763905460974,31.2499419354704,20.99980901679702
0,t304,254,255,255,14.941665649414062,18.647705078125,55.173828125,0,0,38,25.663261018859167,27.85447209744036,19.96060181576227
0,t305,253,254,255,24.8382568359375,30.164016723632812,64.83102416992188,0,0,33,38.914278069048216,42.43972453097858,31.125698283785127
0,t306,249,255,255,24.462661743164062,28.21661376953125,67.19453430175781,0,0,39,41.006932604451904,44.068417320514314,31.852653510781494
0,t307,250,254,254,19.9517822265625,22.748001098632812,61.077301025390625,0,0,34,40.560487319425704,41.81439345892619,32.24688478384247
